Date,Car,Year,Price,Mileage,Location,URL
01/05/21,Lexus LC500  LEXUS LC 500 INSPIRATION REGATTA SERIES...,2021,"$174,000",N/A,"Beverly Hills, CA, USA(1735 mi. from 60004)",https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5336658105&customid=&lgeo=1&vectorid=229466&item=174582390844
01/05/21,Lexus LC 500 Convertible Touring Package 21inch Wheels...,2021,"$127,950",N/A,"Scottsdale, AZ, USA(1425 mi. from 60004)",https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5336658105&customid=&lgeo=1&vectorid=229466&item=233845717656
01/05/21,Lexus LC500 Perfomance Pkg * ONLY 6K Miles...Best...,2020,"$98,500",N/A,"Scottsdale, AZ, USA(1425 mi. from 60004)",https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5336658105&customid=&lgeo=1&vectorid=229466&item=124511254165
01/05/21,Lexus LC 500 500 500 Used 5L V8 32V Automatic RWD...,2018,"$76,989",N/A,"Pinellas Park, FL, USA(1030 mi. from 60004)",https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5336658105&customid=&lgeo=1&vectorid=229466&item=383884283095
01/05/21,Lexus LC LC 500 2dr Car Premium Unleaded V-8 5.0 L/303...,2018,"$73,900",N/A,"Pompano Beach, FL, USA(1180 mi. from 60004)",https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5336658105&customid=&lgeo=1&vectorid=229466&item=402628773532
01/05/21,Lexus LC LC 500 2dr Car Premium Unleaded V-8 5.0 L/303...,2018,"$75,900",N/A,"Pompano Beach, FL, USA(1180 mi. from 60004)",https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5336658105&customid=&lgeo=1&vectorid=229466&item=402604269000
01/05/21,Lexus LC LC 500 2017 DealerRater Texas Used Car Dealer...,2018,"$73,675",N/A,"Dallas, TX, USA(800 mi. from 60004)",https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5336658105&customid=&lgeo=1&vectorid=229466&item=224274735131
01/05/21,Lexus LC 500,2018,"$75,999","7,428 mi.","Hoffman Estates, IL(8 mi. from 60004)",https://www.cars.com/vehicledetail/detail/834325733/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/05/21,Lexus LC 500,2018,"$69,995","23,757 mi.","Palatine, IL(3 mi. from 60004)",https://www.cars.com/vehicledetail/detail/834235186/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/05/21,Lexus LC 500,2018,"$75,000","7,360 mi.","Downers Grove, IL(21 mi. from 60004)",https://www.cars.com/vehicledetail/detail/833776672/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/05/21,Lexus LC 500,2018,"$64,990","25,300 mi.","Warrenville, IL(21 mi. from 60004)",https://www.cars.com/vehicledetail/detail/832102443/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/05/21,Lexus LC 500,2018,"$72,888","23,666 mi.","Bensenville, IL(10 mi. from 60004)",https://www.cars.com/vehicledetail/detail/828739305/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/05/21,Lexus LC 500,2018,"$73,000","17,956 mi.","Orland Park, IL(34 mi. from 60004)",https://www.cars.com/vehicledetail/detail/834327980/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/05/21,Lexus LC 500,2018,"$66,900","19,064 mi.","Mokena, IL(39 mi. from 60004)",https://www.cars.com/vehicledetail/detail/833161499/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/05/21,Lexus LC 500,2018,"$73,995","11,344 mi.","West Chester, OH(276 mi. from 60004)",https://www.cars.com/vehicledetail/detail/834580308/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/05/21,Lexus LC 500,2018,"$69,998","33,744 mi.","Knoxville, TN(475 mi. from 60004)",https://www.cars.com/vehicledetail/detail/834423930/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/05/21,Lexus LC 500,2018,"$68,869","39,643 mi.","Knoxville, TN(475 mi. from 60004)",https://www.cars.com/vehicledetail/detail/834235533/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/05/21,Lexus LC 500,2018,"$70,480","19,165 mi.","Delano, MN(355 mi. from 60004)",https://www.cars.com/vehicledetail/detail/834225950/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/05/21,Lexus LC 500,2018,"$72,995","16,163 mi.","Mt. Juliet, TN(414 mi. from 60004)",https://www.cars.com/vehicledetail/detail/834050539/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/05/21,Lexus LC 500,2018,"$69,995","21,796 mi.","Mt. Juliet, TN(414 mi. from 60004)",https://www.cars.com/vehicledetail/detail/834050468/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/05/21,Lexus LC 500,2018,"$81,603","1,035 mi.","Merriam, KS(415 mi. from 60004)",https://www.cars.com/vehicledetail/detail/834099522/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/05/21,Lexus LC 500,2018,"$71,579","26,479 mi.","Kcmo, MO(403 mi. from 60004)",https://www.cars.com/vehicledetail/detail/834003062/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/05/21,Lexus LC 500,2018,"$73,490","13,047 mi.","Lees Summit, MO(402 mi. from 60004)",https://www.cars.com/vehicledetail/detail/834002917/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/05/21,Lexus LC 500,2018,"$69,988","14,679 mi.","Peoria, IL(126 mi. from 60004)",https://www.cars.com/vehicledetail/detail/833666083/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/05/21,Lexus LC 500,2021,"$148,977",131 mi.,"Shawnee, KS(415 mi. from 60004)",https://www.cars.com/vehicledetail/detail/833019801/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/05/21,Lexus LC 500,2018,"$74,564","19,700 mi.","Knoxville, TN(475 mi. from 60004)",https://www.cars.com/vehicledetail/detail/833011920/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/05/21,Lexus LC 500,2018,"$78,912","4,025 mi.","Grand Rapids, MI(133 mi. from 60004)",https://www.cars.com/vehicledetail/detail/832364101/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/05/21,Lexus LC 500,2018,"$77,993","3,720 mi.","Merriam, KS(415 mi. from 60004)",https://www.cars.com/vehicledetail/detail/832096621/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/05/21,Lexus LC 500,2018,"$68,990","19,900 mi.","Tullahoma, TN(474 mi. from 60004)",https://www.cars.com/vehicledetail/detail/832175184/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/05/21,Lexus LC 500,2018,"$74,000","13,156 mi.","Nashville, TN(414 mi. from 60004)",https://www.cars.com/vehicledetail/detail/831987389/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/05/21,Lexus LC 500,2018,"$69,977","20,153 mi.","Covington, KY(277 mi. from 60004)",https://www.cars.com/vehicledetail/detail/831868467/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/05/21,Lexus LC 500,2020,"$89,272","3,617 mi.","Knoxville, TN(475 mi. from 60004)",https://www.cars.com/vehicledetail/detail/831749461/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/05/21,Lexus LC 500,2018,"$77,950","4,487 mi.","Brentwood, TN(426 mi. from 60004)",https://www.cars.com/vehicledetail/detail/831370829/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/05/21,Lexus LC 500,2018,"$77,000","8,021 mi.","Brentwood, TN(426 mi. from 60004)",https://www.cars.com/vehicledetail/detail/829864619/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/05/21,Lexus LC 500,2018,"$76,000","13,189 mi.","Brentwood, TN(426 mi. from 60004)",https://www.cars.com/vehicledetail/detail/829410649/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
