Date,Car,Year,Price,Mileage,Location,URL
01/05/21,Mazda Mazdaspeed3  azdaspeed3 - Technology Package,2013,"$15,000",N/A,"Springfield, IL, USA(185 mi. from 60004)",https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5336658105&customid=&lgeo=1&vectorid=229466&item=124485623795
01/05/21,Mazda Mazda3 MAZDA3 MAZDASPEED3 Touring Hatchback 4D...,2013,"$18,590",N/A,"Tempe, AZ, USA(1435 mi. from 60004)",https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5336658105&customid=&lgeo=1&vectorid=229466&item=203238883651
01/05/21,Mazda Mazdaspeed3 Touring Hatchback azdaspeed 3...,2012,"$12,788",N/A,"Fort Lauderdale, FL, USA(1195 mi. from 60004)",https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5336658105&customid=&lgeo=1&vectorid=229466&item=393083228449
01/05/21,Mazda MazdaSpeed3 Sport,2008,"$5,250","163,345 mi.","Harwood Heights, IL(13 mi. from 60004)",https://www.cars.com/vehicledetail/detail/833999837/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/05/21,Mazda MazdaSpeed3 Sport,2009,"$15,000","32,967 mi.","Chicago, IL(24 mi. from 60004)",https://www.cars.com/vehicledetail/detail/828624367/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/05/21,Mazda MazdaSpeed3 Sport,2010,"$11,995","108,100 mi.","Kenosha, WI(35 mi. from 60004)",https://www.cars.com/vehicledetail/detail/832322655/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/05/21,Mazda MazdaSpeed3 Touring,2012,"$9,495","157,721 mi.","Milwaukee, WI(67 mi. from 60004)",https://www.cars.com/vehicledetail/detail/827192678/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/05/21,Mazda MazdaSpeed3 Sport,2010,"$10,000","115,091 mi.","Cincinnati, OH(276 mi. from 60004)",https://www.cars.com/vehicledetail/detail/834476543/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/05/21,Mazda MazdaSpeed3 Touring,2013,"$13,490","104,945 mi.","Murfreesboro, TN(440 mi. from 60004)",https://www.cars.com/vehicledetail/detail/833338443/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/05/21,Mazda MazdaSpeed3 Touring,2012,"$10,388","121,407 mi.","Marysville, OH(272 mi. from 60004)",https://www.cars.com/vehicledetail/detail/833754882/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/05/21,Mazda MazdaSpeed3 Sport,2010,"$9,500","115,258 mi.","Adrian, MI(203 mi. from 60004)",https://www.cars.com/vehicledetail/detail/833504632/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/05/21,Mazda MazdaSpeed3 Grand Touring,2009,"$8,000","105,000 mi.","Commerce Township, MI(231 mi. from 60004)",https://www.cars.com/vehicledetail/detail/833127894/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/05/21,Mazda MazdaSpeed3 Touring,2012,"$9,999","123,025 mi.","Avon, IN(181 mi. from 60004)",https://www.cars.com/vehicledetail/detail/832998934/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/05/21,Mazda MazdaSpeed3 Sport,2008,"$5,995","152,482 mi.","Louisville, KY(292 mi. from 60004)",https://www.cars.com/vehicledetail/detail/831746928/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/05/21,Mazda MazdaSpeed3 Sport,2011,"$8,995","98,039 mi.","Beavercreek, OH(255 mi. from 60004)",https://www.cars.com/vehicledetail/detail/832422189/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/05/21,Mazda MazdaSpeed3 Sport,2011,"$10,977","107,935 mi.","La Crescent, MN(206 mi. from 60004)",https://www.cars.com/vehicledetail/detail/832425661/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/05/21,Mazda MazdaSpeed3 Sport,2010,"$8,500","120,045 mi.","Grand Rapids, MI(133 mi. from 60004)",https://www.cars.com/vehicledetail/detail/830775204/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/05/21,Mazda MazdaSpeed3 Touring,2013,"$12,995","51,064 mi.","Sedalia, MO(362 mi. from 60004)",https://www.cars.com/vehicledetail/detail/830309029/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/05/21,Mazda MazdaSpeed3 Touring,2012,"$10,999","90,687 mi.","St Paul, MN(323 mi. from 60004)",https://www.cars.com/vehicledetail/detail/828432424/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/05/21,Mazda MazdaSpeed3 Sport,2010,"$14,474","39,802 mi.","Golden Valley, MN(331 mi. from 60004)",https://www.cars.com/vehicledetail/detail/828056245/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/05/21,Mazda MazdaSpeed3 Touring,2012,"$11,998","38,966 mi.","Golden Valley, MN(331 mi. from 60004)",https://www.cars.com/vehicledetail/detail/824936488/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/05/21,Mazda MazdaSpeed3 Touring,2013,"$12,950","119,157 mi.","Olathe, KS(422 mi. from 60004)",https://www.cars.com/vehicledetail/detail/824377240/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/05/21,Mazda MazdaSpeed3 Grand Touring,2008,"$6,450","174,977 mi.","Olathe, KS(422 mi. from 60004)",https://www.cars.com/vehicledetail/detail/823776502/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/05/21,Mazda MazdaSpeed3 Touring,2013,"$10,700","101,324 mi.","Jacksonville, NC(763 mi. from 60004)",https://www.cars.com/vehicledetail/detail/834704804/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/05/21,Mazda MazdaSpeed3 Touring,2013,"$13,488","94,026 mi.","Roseville, CA(1755 mi. from 60004)",https://www.cars.com/vehicledetail/detail/834633877/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/05/21,Mazda MazdaSpeed3 Touring,2012,"$12,995","112,454 mi.","Reno, NV(1662 mi. from 60004)",https://www.cars.com/vehicledetail/detail/834653164/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/05/21,Mazda MazdaSpeed3 Sport,2008,"$3,600","189,700 mi.","Brooklyn, NY(734 mi. from 60004)",https://www.cars.com/vehicledetail/detail/834597527/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
