Date,Car,Year,Price,Mileage,Location,URL
05/03/21,MAZDA MX-5 Miata Grand Touring Convertible 2D,2020,"$31,990","2,408 mi.","Chicago, IL",https://www.carvana.com/search/2000946438?utm_source=autotempest&utm_medium=referral&utm_content=vdp&utm_campaign=referral
05/03/21,MAZDA MX-5 Miata Club Convertible 2D,2017,"$26,990","4,114 mi.","Chicago, IL",https://www.carvana.com/search/2000994527?utm_source=autotempest&utm_medium=referral&utm_content=vdp&utm_campaign=referral
05/03/21,MAZDA MX-5 Miata Sport Convertible 2D,2014,"$19,990","18,134 mi.","Chicago, IL",https://www.carvana.com/search/2000978743?utm_source=autotempest&utm_medium=referral&utm_content=vdp&utm_campaign=referral
05/03/21,MAZDA MX-5 Miata Club Convertible 2D,2014,"$20,590","34,704 mi.","Chicago, IL",https://www.carvana.com/search/2000902406?utm_source=autotempest&utm_medium=referral&utm_content=vdp&utm_campaign=referral
05/03/21,MAZDA MX-5 Miata RF Grand Touring Convertible 2D,2019,"$31,590","8,789 mi.","Chicago, IL",https://www.carvana.com/search/2000923620?utm_source=autotempest&utm_medium=referral&utm_content=vdp&utm_campaign=referral
05/03/21,MAZDA MX-5 Miata Grand Touring Convertible 2D,2016,"$24,990","6,218 mi.","Chicago, IL",https://www.carvana.com/search/2000980413?utm_source=autotempest&utm_medium=referral&utm_content=vdp&utm_campaign=referral
05/03/21,MAZDA MX-5 Miata Club Convertible 2D,2016,"$22,990","22,420 mi.","Chicago, IL",https://www.carvana.com/search/2000803452?utm_source=autotempest&utm_medium=referral&utm_content=vdp&utm_campaign=referral
05/03/21,MAZDA MX-5 Miata Grand Touring Convertible 2D,2011,"$21,590","20,892 mi.","Chicago, IL",https://www.carvana.com/search/2000924165?utm_source=autotempest&utm_medium=referral&utm_content=vdp&utm_campaign=referral
05/03/21,MAZDA MX-5 Miata Touring Convertible 2D,2010,"$17,990","72,563 mi.","Chicago, IL",https://www.carvana.com/search/2000895866?utm_source=autotempest&utm_medium=referral&utm_content=vdp&utm_campaign=referral
05/03/21,MAZDA MX-5 Miata Grand Touring Convertible 2D,2016,"$23,590","45,045 mi.","Chicago, IL",https://www.carvana.com/search/2001001019?utm_source=autotempest&utm_medium=referral&utm_content=vdp&utm_campaign=referral
05/03/21,MAZDA MX-5 Miata Grand Touring Convertible 2D,2018,"$26,990","16,455 mi.","Chicago, IL",https://www.carvana.com/search/2000992771?utm_source=autotempest&utm_medium=referral&utm_content=vdp&utm_campaign=referral
05/03/21,MAZDA MX-5 Miata Grand Touring Convertible 2D,2016,"$24,990","16,234 mi.","Chicago, IL",https://www.carvana.com/search/2000968089?utm_source=autotempest&utm_medium=referral&utm_content=vdp&utm_campaign=referral
05/03/21,MAZDA MX-5 Miata Grand Touring Convertible 2D,2015,"$23,590","10,316 mi.","Chicago, IL",https://www.carvana.com/search/2000949057?utm_source=autotempest&utm_medium=referral&utm_content=vdp&utm_campaign=referral
05/03/21,MAZDA MX-5 Miata Grand Touring Convertible 2D,2011,"$18,590","60,038 mi.","Chicago, IL",https://www.carvana.com/search/2000842861?utm_source=autotempest&utm_medium=referral&utm_content=vdp&utm_campaign=referral
05/03/21,MAZDA MX-5 Miata RF Grand Touring Convertible 2D,2017,"$28,590","6,958 mi.","Chicago, IL",https://www.carvana.com/search/2000997306?utm_source=autotempest&utm_medium=referral&utm_content=vdp&utm_campaign=referral
05/03/21,MAZDA MX-5 Miata Club Convertible 2D,2020,"$31,590","2,195 mi.","Chicago, IL",https://www.carvana.com/search/2000948571?utm_source=autotempest&utm_medium=referral&utm_content=vdp&utm_campaign=referral
05/03/21,MAZDA MX-5 Miata Grand Touring Convertible 2D,2013,"$22,990","20,125 mi.","Chicago, IL",https://www.carvana.com/search/2000983399?utm_source=autotempest&utm_medium=referral&utm_content=vdp&utm_campaign=referral
05/03/21,MAZDA MX-5 Miata Grand Touring Convertible 2D,2016,"$24,990","19,234 mi.","Chicago, IL",https://www.carvana.com/search/2000972889?utm_source=autotempest&utm_medium=referral&utm_content=vdp&utm_campaign=referral
05/03/21,MAZDA MX-5 Miata Touring Convertible 2D,2010,"$18,990","39,051 mi.","Chicago, IL",https://www.carvana.com/search/2000924941?utm_source=autotempest&utm_medium=referral&utm_content=vdp&utm_campaign=referral
05/03/21,MAZDA MX-5 Miata Grand Touring Convertible 2D,2012,"$19,990","29,993 mi.","Chicago, IL",https://www.carvana.com/search/2000812909?utm_source=autotempest&utm_medium=referral&utm_content=vdp&utm_campaign=referral
05/03/21,Mazda MX-5 Miata Touring Convertible 2D 4-Cyl 2.0...,2010,"$17,990",N/A,"Lorain, OH, USA(305 mi. from 60004)",https://www.ebay.com/itm/203437280431?mkevt=1&mkcid=1&siteid=0&mkrid=711-53200-19255-0&toolid=20008&campid=5336658105&customid=
05/03/21,Mazda MX-5 Miata Touring Convertible 2D 4-Cyl 2.0...,2010,"$19,990",N/A,"West Memphis, AR, USA(495 mi. from 60004)",https://www.ebay.com/itm/203431223203?mkevt=1&mkcid=1&siteid=0&mkrid=711-53200-19255-0&toolid=20008&campid=5336658105&customid=
05/03/21,Mazda MX-5 Miata  Miata  35362 Miles Red Convertible...,2000,"$13,900",N/A,"Grand Rapids, MI, USA(135 mi. from 60004)",https://www.ebay.com/itm/144020267590?mkevt=1&mkcid=1&siteid=0&mkrid=711-53200-19255-0&toolid=20008&campid=5336658105&customid=
05/03/21,"Mazda MX-5 Miata Grand Touring Automatic RF, Arctic...",2020,"$31,994",N/A,"Omaha, NE, USA(420 mi. from 60004)",https://www.ebay.com/itm/133741204568?mkevt=1&mkcid=1&siteid=0&mkrid=711-53200-19255-0&toolid=20008&campid=5336658105&customid=
05/03/21,Mazda MX-5 Miata 10th Anniversary,1999,"$16,995",N/A,"Columbus, OH, USA(295 mi. from 60004)",https://www.ebay.com/itm/224426024598?mkevt=1&mkcid=1&siteid=0&mkrid=711-53200-19255-0&toolid=20008&campid=5336658105&customid=
05/03/21,Mazda MX-5 Miata Club Automatic RF Club Automatic,2019,"$24,995",N/A,"Council Bluffs, IA, USA(415 mi. from 60004)",https://www.ebay.com/itm/133723322044?mkevt=1&mkcid=1&siteid=0&mkrid=711-53200-19255-0&toolid=20008&campid=5336658105&customid=
05/03/21,Mazda MX-5 Miata AUTOMATIC GRAND TOURING POWER TOP...,2008,"$15,900",N/A,"Nashville, TN, USA(420 mi. from 60004)",https://www.ebay.com/itm/254821389410?mkevt=1&mkcid=1&siteid=0&mkrid=711-53200-19255-0&toolid=20008&campid=5336658105&customid=
05/03/21,Mazda MX-5 Miata Free shipping Carfax certified No...,2016,"$20,988",N/A,"Hollywood, FL, USA(1200 mi. from 60004)",https://www.ebay.com/itm/144028317692?mkevt=1&mkcid=1&siteid=0&mkrid=711-53200-19255-0&toolid=20008&campid=5336658105&customid=
05/03/21,Mazda MX-5 Miata Club Convertible 2D 4-Cyl 2.0 Liter...,2014,"$20,590",N/A,"Tempe, AZ, USA(1435 mi. from 60004)",https://www.ebay.com/itm/203437582495?mkevt=1&mkcid=1&siteid=0&mkrid=711-53200-19255-0&toolid=20008&campid=5336658105&customid=
05/03/21,Mazda MX-5 Miata Grand Touring Convertible 2D 4-Cyl...,2011,"$13,990",N/A,"Tempe, AZ, USA(1435 mi. from 60004)",https://www.ebay.com/itm/203437555659?mkevt=1&mkcid=1&siteid=0&mkrid=711-53200-19255-0&toolid=20008&campid=5336658105&customid=
