Date,Car,Year,Price,Mileage,Location,URL
04/04/21,INFINITI Q60 Red Sport 400 Coupe 2D,2019,"$47,990","6,095 mi.","Chicago, IL",https://www.carvana.com/search/2000916700?utm_source=autotempest&utm_medium=referral&utm_content=vdp&utm_campaign=referral
04/04/21,INFINITI Q60 Red Sport 400 Coupe 2D,2017,"$33,990","42,620 mi.","Chicago, IL",https://www.carvana.com/search/2000772162?utm_source=autotempest&utm_medium=referral&utm_content=vdp&utm_campaign=referral
04/04/21,INFINITI Q60 Red Sport 400 Coupe 2D,2019,"$44,590","7,396 mi.","Chicago, IL",https://www.carvana.com/search/2000910443?utm_source=autotempest&utm_medium=referral&utm_content=vdp&utm_campaign=referral
04/04/21,INFINITI Q60 Red Sport 400 Coupe 2D,2018,"$39,590","19,066 mi.","Chicago, IL",https://www.carvana.com/search/2000925424?utm_source=autotempest&utm_medium=referral&utm_content=vdp&utm_campaign=referral
04/04/21,INFINITI Q60 Red Sport 400 Coupe 2D,2020,"$43,590","18,743 mi.","Chicago, IL",https://www.carvana.com/search/2000859711?utm_source=autotempest&utm_medium=referral&utm_content=vdp&utm_campaign=referral
04/04/21,INFINITI Q60 RED SPORT 400,2019,N/A,N/A,"Bettendorf, IA, USA(135 mi. from 60004)",https://www.ebay.com/itm/233951677747?mkevt=1&mkcid=1&siteid=0&mkrid=711-53200-19255-0&toolid=20008&campid=5336658105&customid=
04/04/21,Infiniti Q60 Red Sport 400 Coupe 2D ABS (4-Wheel) Air...,2017,"$33,990",N/A,"Tempe, AZ, USA(1435 mi. from 60004)",https://www.ebay.com/itm/203335058456?mkevt=1&mkcid=1&siteid=0&mkrid=711-53200-19255-0&toolid=20008&campid=5336658105&customid=
04/04/21,INFINITI Q60 Red Sport 400,2018,"$37,998",N/A,"Conroe, TX, USA(925 mi. from 60004)",https://www.ebay.com/itm/114749567528?mkevt=1&mkcid=1&siteid=0&mkrid=711-53200-19255-0&toolid=20008&campid=5336658105&customid=
04/04/21,INFINITI Q60 Red Sport 400 AWD Off Lease Only Twin...,2017,"$30,999",N/A,"Orlando, FL, USA(1015 mi. from 60004)",https://www.ebay.com/itm/284240673925?mkevt=1&mkcid=1&siteid=0&mkrid=711-53200-19255-0&toolid=20008&campid=5336658105&customid=
04/04/21,INFINITI Q60 Red Sport 400 AWD Off Lease Only Twin...,2020,"$43,999",N/A,"West Palm Beach, FL, USA(1160 mi. from 60004)",https://www.ebay.com/itm/284239716124?mkevt=1&mkcid=1&siteid=0&mkrid=711-53200-19255-0&toolid=20008&campid=5336658105&customid=
04/04/21,INFINITI Q60 RED SPORT 400~ TWIN TURBO 6 CYL~...,2018,"$36,890",N/A,"Sarasota, FL, USA(1070 mi. from 60004)",https://www.ebay.com/itm/353437141277?mkevt=1&mkcid=1&siteid=0&mkrid=711-53200-19255-0&toolid=20008&campid=5336658105&customid=
04/04/21,INFINITI Q60 Red Sport 400 RWD Off Lease Only Twin...,2018,"$38,999",N/A,"Orlando, FL, USA(1015 mi. from 60004)",https://www.ebay.com/itm/303932064838?mkevt=1&mkcid=1&siteid=0&mkrid=711-53200-19255-0&toolid=20008&campid=5336658105&customid=
04/04/21,INFINITI Q60 Red Sport 400  25051 Miles Dynamic...,2017,"$34,828",N/A,"McKinney, TX, USA(780 mi. from 60004)",https://www.ebay.com/itm/313451484645?mkevt=1&mkcid=1&siteid=0&mkrid=711-53200-19255-0&toolid=20008&campid=5336658105&customid=
04/04/21,INFINITI Q60 3.0t Red Sport 400,2017,N/A,"60,622 mi.","Chicago, IL(21 mi. from 60004)",https://www.cars.com/vehicledetail/detail/843117120/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
