Date,Car,Year,Price,Mileage,Location,URL
01/31/21,Toyota RAV4 LE,2017,"$18,990","40,455 mi.","Chicago, IL(24 mi. from 60004)",https://autos.lotlinx.com?ad=JTMBFREV7HJ104863&request=AdLink&pubId=12000&url=1&channelid=desktopmain
01/31/21,Toyota RAV4 LE,2017,"$18,778","29,683 mi.","Chicago, IL(24 mi. from 60004)",https://autos.lotlinx.com?ad=2T3ZFREV5HW380877&request=AdLink&pubId=12000&url=1&channelid=desktopmain
01/31/21,Toyota RAV4 Platinum,2017,"$24,721","26,257 mi.","Chicago, IL(24 mi. from 60004)",https://autos.lotlinx.com?ad=2T3DFREV0HW660457&request=AdLink&pubId=12000&url=1&channelid=desktopmain
01/31/21,Toyota RAV4 LE,2018,"$20,499","25,421 mi.","Chicago, IL(24 mi. from 60004)",https://autos.lotlinx.com?ad=2T3BFREV0JW790137&request=AdLink&pubId=12000&url=1&channelid=desktopmain
01/31/21,Toyota RAV4 SE,2017,"$22,436","32,272 mi.","Chicago, IL(24 mi. from 60004)",https://autos.lotlinx.com?ad=2T3JFREV7HW631797&request=AdLink&pubId=12000&url=1&channelid=desktopmain
01/31/21,Toyota RAV4 XLE Sport Utility 4D,2020,"$25,990","22,054 mi.","Milwaukee - Oak Creek, IL",https://www.carvana.com/search/2000793302?utm_source=autotempest&utm_medium=referral&utm_content=vdp&utm_campaign=referral
01/31/21,Toyota RAV4 XLE Sport Utility 4D,2015,"$15,590","91,943 mi.","Milwaukee - Oak Creek, IL",https://www.carvana.com/search/2000816998?utm_source=autotempest&utm_medium=referral&utm_content=vdp&utm_campaign=referral
01/31/21,Toyota RAV4 XLE Sport Utility 4D,2020,"$24,990","30,738 mi.","Milwaukee - Oak Creek, IL",https://www.carvana.com/search/2000803157?utm_source=autotempest&utm_medium=referral&utm_content=vdp&utm_campaign=referral
01/31/21,Toyota RAV4 Sport Utility 4D,2010,"$11,990","73,417 mi.","Milwaukee - Oak Creek, IL",https://www.carvana.com/search/2000767066?utm_source=autotempest&utm_medium=referral&utm_content=vdp&utm_campaign=referral
01/31/21,Toyota RAV4 Sport Utility 4D,2010,"$11,590","100,271 mi.","Milwaukee - Oak Creek, IL",https://www.carvana.com/search/2000792500?utm_source=autotempest&utm_medium=referral&utm_content=vdp&utm_campaign=referral
01/31/21,Toyota RAV4 Sport SUV 4D,2011,"$15,990","16,573 mi.","Milwaukee - Oak Creek, IL",https://www.carvana.com/search/2000747826?utm_source=autotempest&utm_medium=referral&utm_content=vdp&utm_campaign=referral
01/31/21,Toyota RAV4 Sport Utility 4D,2011,"$12,990","98,635 mi.","Milwaukee - Oak Creek, IL",https://www.carvana.com/search/2000799880?utm_source=autotempest&utm_medium=referral&utm_content=vdp&utm_campaign=referral
01/31/21,Toyota RAV4 Limited Sport Utility 4D,2013,"$17,590","87,600 mi.","Milwaukee - Oak Creek, IL",https://www.carvana.com/search/2000771211?utm_source=autotempest&utm_medium=referral&utm_content=vdp&utm_campaign=referral
01/31/21,Toyota RAV4 LE Sport Utility 4D,2013,"$14,990","97,784 mi.","Milwaukee - Oak Creek, IL",https://www.carvana.com/search/2000806889?utm_source=autotempest&utm_medium=referral&utm_content=vdp&utm_campaign=referral
01/31/21,Toyota RAV4 LE Sport Utility 4D,2013,"$14,590","84,901 mi.","Milwaukee - Oak Creek, IL",https://www.carvana.com/search/2000812761?utm_source=autotempest&utm_medium=referral&utm_content=vdp&utm_campaign=referral
01/31/21,Toyota RAV4 XLE Sport Utility 4D,2013,"$15,990","91,696 mi.","Milwaukee - Oak Creek, IL",https://www.carvana.com/search/2000808372?utm_source=autotempest&utm_medium=referral&utm_content=vdp&utm_campaign=referral
01/31/21,Toyota RAV4 LE Sport Utility 4D,2014,"$14,990","97,584 mi.","Milwaukee - Oak Creek, IL",https://www.carvana.com/search/2000793318?utm_source=autotempest&utm_medium=referral&utm_content=vdp&utm_campaign=referral
